ID,FormRE,Province,FloorNum,Area,Height,Width,UsableArea,FrontLength,BackSideLength,Direction,BalconyDirection,Corner,RoadInFront,Juridical,NumOfBed,NumOfFloor,NumOfToilet,ConstructionYear,IsOwner,Furniture,Terrace,CarParking,DinningRoom,Kitchen,AirCond,ADSL,WashingMachine,Balcony,Fridge,Wifi,Pool,Basement,Park,SuperMarket,Clinics,Sea,Hospital,Church,BusStation,School,Temple,Airport,Preschool,Characteristics,Price
1,"Đất thổ cư, đất ở",Bình Dương,nan,nan,50.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,750000000.0
2,"Đất thổ cư, đất ở",Bình Phước,nan,nan,20.0,5.0,nan,nan,nan,Đông,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,650000000.0
3,"Đất thổ cư, đất ở",Bình Dương,nan,nan,25.0,5.0,nan,nan,nan,Đông Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1680000000.0
4,"Biệt thự, nhà liền kề",Cần Thơ,nan,nan,15.0,4.0,176.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,3.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1900000000.0
5,"Đất thổ cư, đất ở",Hà Nội,nan,nan,51.0,20.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,1700000000.0
6,"Nhà mặt phố, nhà mặt tiền",Khánh Hòa,nan,nan,12.0,5.0,62.0,nan,nan,Đông Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,1.0,1.0,nan,nan,Nội thất đầy đủ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,695000000.0
7,"Đất thổ cư, đất ở",Đà Nẵng,nan,nan,27.0,8.0,nan,nan,nan,Đông Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10500000000.0
8,"Nhà mặt phố, nhà mặt tiền",Tp Hồ Chí Minh,nan,nan,19.0,7.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21000000000.0
9,"Nhà mặt phố, nhà mặt tiền",Đà Nẵng,nan,nan,24.1,6.0,496.0,nan,nan,Đông Nam,nan,nan,nan,Số đỏ/ Sổ hồng,4.0,4.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5500000000.0
10,"Đất thổ cư, đất ở",Bình Dương,nan,nan,45.0,5.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,2650000000.0
11,"Đất thổ cư, đất ở",Thừa Thiên Huế,nan,nan,15.0,4.0,nan,nan,nan,Tây,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,995000000.0
12,"Nhà mặt phố, nhà mặt tiền",Cần Thơ,nan,nan,10.0,4.0,120.0,nan,nan,Đông Bắc,nan,nan,nan,nan,4.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3500000000.0
13,"Đất thổ cư, đất ở",Hà Nội,nan,nan,8.0,5.0,nan,nan,nan,Đông Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1380000000.0
14,"Đất thổ cư, đất ở",An Giang,nan,nan,19.0,8.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,260000000.0
15,"Nhà, ngõ, hẻm",Tây Ninh,nan,nan,45.0,6.0,270.0,nan,nan,Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1680000000.0
16,"Đất thổ cư, đất ở",Tp Hồ Chí Minh,nan,nan,16.0,4.0,nan,nan,nan,Đông Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,2950000000.0
17,"Nhà, ngõ, hẻm",Hà Nội,nan,nan,8.0,4.0,30.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,5.0,nan,nan,nan,Nội thất cao cấp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,2650000000.0
18,"Đất nông, công, lâm nghiệp",Bình Thuận,nan,nan,200.0,50.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1500000000.0
19,"Đất nền, đất liền kề, đất dự án",Cần Thơ,nan,nan,20.0,6.0,nan,nan,nan,Đông Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,3500000000.0
20,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,8.0,37.0,56.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,3350000000.0
21,"Nhà mặt phố, nhà mặt tiền",Bến Tre,nan,nan,20.0,12.0,394.0,nan,nan,Tây Bắc,nan,nan,nan,nan,8.0,nan,6.0,nan,nan,Hoàn thiện cơ bản,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,9950000000.0
22,"Nhà mặt phố, nhà mặt tiền",Tp Hồ Chí Minh,nan,nan,20.0,5.0,80.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,4.0,3.0,5.0,nan,nan,Nội thất cao cấp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16000000000.0
